ID	P.value
GO:0000003	0.8487106814661489
GO:0000018	0.03906372790516836
GO:0000070	0.9813547070960232
GO:0000075	0.875703240552525
GO:0000077	0.544090038555223
GO:0000079	0.9082938374457614
GO:0000082	0.85558131656097125
GO:0000086	0.8061723449357379
GO:0000122	0.48089994502308586
GO:0000165	0.875703240552525
GO:0000209	0.4898887863454161
GO:0000226	0.9492264789652309
GO:0000278	0.992812357649306
GO:0000280	0.9991998343690016
GO:0000723	0.6823920149084546
GO:0000819	0.9892051428127588
GO:0000910	0.8125718719629451
GO:0001501	0.24598315140128413
GO:0001516	0.3407746170299104
GO:0001568	0.993789765245328
GO:0001667	0.3973352267475594
GO:0001676	0.08029507024904249
GO:0001775	0.16748274200405994
GO:0001816	0.08918503363282519
GO:0001817	0.08918503363282519
GO:0001818	0.13837956297130768
GO:0001819	0.14810245150662127
GO:0001906	0.13837956297130768
GO:0001909	0.053521092513440144
GO:0001910	0.07895049867689834
GO:0001932	0.6470897273953782
GO:0001933	0.07073544293073125
GO:0001934	0.5981430117526896
GO:0001935	0.20042879156736085
GO:0001944	0.993789765245328
GO:0001959	0.10477462590731314
GO:0002009	0.92989286316965
GO:0002200	0.056820732142589286
GO:0002204	0.056820732142589286
GO:0002208	0.056820732142589286
GO:0002228	0.544090038555223
GO:0002237	0.7852626996194131
GO:0002250	0.24272699835263534
GO:0002252	0.0563423972055742
GO:0002253	0.018093640707548438
GO:0002263	0.3271049055255256
GO:0002274	0.23758876629358447
GO:0002285	0.1132884902035133
GO:0002312	0.056820732142589286
GO:0002366	0.3271049055255256
GO:0002367	0.6823920149084546
GO:0002376	0.21564289887265883
GO:0002377	0.10477462590731314
GO:0002381	0.056820732142589286
GO:0002440	0.06173774069877189
GO:0002443	0.3029345266800808
GO:0002449	0.16142633098006637
GO:0002460	0.2588802416763294
GO:0002520	0.07755066493695198
GO:0002521	0.0964918736617697
GO:0002562	0.056820732142589286
GO:0002637	0.07895049867689834
GO:0002682	0.0851750573715477
GO:0002683	0.07755066493695198
GO:0002684	0.11710466285061948
GO:0002685	0.6823920149084546
GO:0002687	0.8793343894950221
GO:0002694	0.0658624831914102
GO:0002696	0.0792689634313012
GO:0002697	0.08029507024904249
GO:0002698	0.07895049867689834
GO:0002699	0.16142633098006637
GO:0002700	0.04805170100724765
GO:0002702	0.07073544293073125
GO:0002703	0.2588802416763294
GO:0002705	0.1951519681601578
GO:0002706	0.1951519681601578
GO:0002708	0.1951519681601578
GO:0002712	0.1339794694638221
GO:0002714	0.1339794694638221
GO:0002718	0.6823920149084546
GO:0002757	0.018093640707548438
GO:0002764	0.02730224421606848
GO:0002768	0.011215470027965899
GO:0002819	0.35493634753951386
