Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000125804	10.193021497415204	-0.5297933881482024	0.29528501653949735	0.009213239554313886	0.027383943360103562	TRUE
ENSG00000170776	264.054511886368	-0.5304907742799297	0.06957471427196393	5.321213616467342e-15	1.2648342634146932e-13	TRUE
ENSG00000162542	2.168057936920018	-0.5311571656918025	0.21501114461897333	0.0018165463658744272	0.006429222985005979	TRUE
ENSG00000277383	2.5137928079609	-0.531210124753707	0.19291005639380712	8.003775591978496e-4	0.0030531029369935785	TRUE
ENSG00000215174	1.7485188278667938	-0.5314639348708762	0.2450721559883486	0.00380072172836579	0.012478858268637743	TRUE
ENSG00000163492	22.43616800862506	-0.532132929417924	0.14915593403832603	6.23458843577433e-5	2.9682740384884455e-4	TRUE
ENSG00000283662	13.87673019712699	-0.5322685262898905	0.09794114654765274	9.30324857219873e-9	8.528254443904616e-8	TRUE
ENSG00000143171	86.0826264753729	-0.53228554935055	0.0916669203535652	1.298279540283627e-9	1.3616037872484814e-8	TRUE
ENSG00000149527	269.1781967725949	-0.5325169215204805	0.058855572243337144	3.202789715825638e-20	1.5645566872269915e-18	TRUE
ENSG00000164867	7.717972003140079	-0.532604216360278	0.2743854312885913	0.006783338184602444	0.020861505045285434	TRUE
ENSG00000124743	6.783283027834845	-0.5332530747170028	0.1320113172111096	8.801057874527122e-6	4.9215055949069503e-5	TRUE
ENSG00000130768	24.916538467240773	-0.5332661600358726	0.1255118524142121	3.916642651619662e-6	2.3333673297789753e-5	TRUE
ENSG00000262877	55.51184505823825	-0.5333379420456811	0.12781545500338157	5.655193967133585e-6	3.274965268999267e-5	TRUE
ENSG00000274184	13.752501128988593	-0.5357641397576856	0.09857143305250686	9.448750640808127e-9	8.658546637502311e-8	TRUE
ENSG00000272572	20.116339823829414	-0.5357702215732035	0.0962962620170271	4.771733400488743e-9	4.581826970312341e-8	TRUE
ENSG00000206113	1.9809585539888561	-0.536558076137256	0.36791754223184586	0.013415462252012856	0.038224695338819066	TRUE
ENSG00000184304	43.33177120559869	-0.5367013128898284	0.1199806106698009	1.4248108843338631e-6	9.148054890794256e-6	TRUE
ENSG00000267348	10.760587864549736	-0.5367158388593446	0.11299409043314701	3.471494179554628e-7	2.461369838401108e-6	TRUE
ENSG00000022355	38.92212595021192	-0.537527054152657	0.1630575516605081	1.676341415202974e-4	7.36066583146261e-4	TRUE
ENSG00000164691	3.122982025990693	-0.5381112105096549	0.2263613367241129	0.0023007274047010698	0.007944791111919633	TRUE
ENSG00000172137	39.31833158642532	-0.5403061213184391	0.11778009992489231	8.238284901352971e-7	5.528407692354781e-6	TRUE
ENSG00000236173	1.3067305831382319	-0.5405913599772967	0.2745535610545838	0.005432219887768326	0.01715806884034507	TRUE
ENSG00000174705	531.1273884577229	-0.5407918346219952	0.08723205512826646	1.0644217300621549e-10	1.326397495341759e-9	TRUE
ENSG00000278921	1.3082383749954734	-0.5408476272764577	0.2509094756185908	0.003712603339328335	0.012225470050498727	TRUE
ENSG00000182957	366.9717993615579	-0.5408989265997814	0.13497917695036274	1.2198049317993975e-5	6.640442314107102e-5	TRUE
ENSG00000136155	6.328986315325421	-0.5413137718203906	0.1527707207751635	5.972673884873359e-5	2.855747217562727e-4	TRUE
ENSG00000133107	325.0857970495607	-0.5446211111914513	0.19382336186149468	8.362563592815368e-4	0.003178640111204007	TRUE
ENSG00000277196	1.4737491207282114	-0.5446855697646706	0.2527922384747075	0.003623455199967254	0.011965644693890064	TRUE
ENSG00000182575	3.0252128473769964	-0.5448845058865184	0.20111847398315127	9.054469331897957e-4	0.0034158653572620465	TRUE
ENSG00000159173	15.182252186222087	-0.5474284877010931	0.1220984143070778	1.2530626433676422e-6	8.13272155123303e-6	TRUE
ENSG00000259088	0.8399551307224385	-0.5481047079236294	0.39162105001020153	0.013776261087348354	0.039126896058297334	TRUE
ENSG00000136999	30.292596658033194	-0.5482589049866283	0.10744781669770809	6.13470617818499e-8	4.941419286785683e-7	TRUE
ENSG00000284820	23.91294466293772	-0.5486112874812509	0.1738295461488422	2.553437426226105e-4	0.0010857285233638882	TRUE
ENSG00000230385	0.9884188595411801	-0.5497768823751044	0.29759311412913475	0.006849371155167001	0.02102432108852181	TRUE
ENSG00000133106	5.060056610259233	-0.5498826790089191	0.1801558398906373	3.2127794274995354e-4	0.001336663979753895	TRUE
ENSG00000260532	2.344491522726753	-0.5503990030715386	0.2012956117981191	8.381871276950954e-4	0.003184565761662794	TRUE
ENSG00000132702	25.167262870562517	-0.5512603207019117	0.09145758579137897	3.0589147525633264e-10	3.577551869235989e-9	TRUE
ENSG00000270605	17.420403149520226	-0.5517128818526712	0.08289567315948064	4.946381412001929e-12	7.556318096396526e-11	TRUE
ENSG00000274893	12.898047508028572	-0.5522008040441888	0.12639025006674143	2.0219036922125065e-6	1.2603788299708964e-5	TRUE
ENSG00000204347	8.100217268274921	-0.5522065645778044	0.11757762619117572	4.343392813746136e-7	3.0409667125124517e-6	TRUE
ENSG00000260260	84.54825275308822	-0.5546125161578321	0.08302555471317893	4.596535431569368e-12	7.055434761898144e-11	TRUE
ENSG00000279744	6.2496561250279905	-0.5547087834746366	0.17425369554689074	2.086285793322971e-4	9.011113373581061e-4	TRUE
ENSG00000215788	157.86540754918266	-0.5547664644999039	0.08296344596225369	4.559152616365941e-12	7.002237087718042e-11	TRUE
ENSG00000158220	29.737613401938216	-0.5551667526254312	0.12109899046108691	7.795781385927918e-7	5.250658000299288e-6	TRUE
ENSG00000161149	41.48537002170581	-0.5555005519937076	0.08088499823482988	1.1537396810010959e-12	1.943956793660535e-11	TRUE
ENSG00000250392	4.267755330270212	-0.5558450354589501	0.17741028972806303	2.4133023851489847e-4	0.001030405529850501	TRUE
ENSG00000169758	91.74682651868721	-0.5574700706184381	0.07447088043880237	1.371822493841234e-14	3.111119062599339e-13	TRUE
ENSG00000076716	58.25574768066728	-0.5585163030919286	0.07462547381935371	1.3397969780870121e-14	3.041173440984609e-13	TRUE
ENSG00000174145	32.005964400405915	-0.5586249753976977	0.13297312041725806	4.452865116483402e-6	2.630261360184851e-5	TRUE
ENSG00000232648	2.1258305998648717	-0.5606501001201918	0.2093575276456652	8.981042622664923e-4	0.003390148844997218	TRUE
